ReturnID,TransactionID,ReturnDate,StoreID,ProductID,ReturnQty,ReturnReason,RefundAmount
R000001,T001133,2026-05-09,S009,P0071,1,Quality Issue,51.01
R000002,T000523,2026-05-05,S010,P0074,4,Damaged,238.08
R000003,T000893,2026-05-06,S004,P0038,1,Wrong Item,44.59
R000004,T000639,2026-05-17,S002,P0001,1,Damaged,101.2
R000005,T000189,2026-05-19,S006,P0009,1,Damaged,105.05
R000006,T000591,2026-05-16,S009,P0020,5,Damaged,267.85
R000007,T000484,2026-05-07,S006,P0001,1,Size Issue,101.2
R000008,T000138,2026-05-09,S006,P0038,1,Quality Issue,44.59
R000009,T000255,2026-05-18,S006,P0069,4,Damaged,659.64
R000010,T000313,2026-05-08,S007,P0027,1,Customer Changed Mind,31.32
R000011,T000352,2026-05-17,S008,P0039,1,Quality Issue,21.85
R000012,T001034,2026-05-13,S008,P0051,1,Damaged,83.06
R000013,T000100,2026-05-05,S009,P0048,4,Damaged,97.51
R000014,T000753,2026-05-15,S002,P0098,1,Wrong Item,84.09
R000015,T000359,2026-05-23,S009,P0076,1,Damaged,101.52
R000016,T000087,2026-05-13,S001,P0088,1,Size Issue,82.21
R000017,T000589,2026-05-17,S004,P0073,2,Wrong Item,266.78
R000018,T001128,2026-05-24,S008,P0064,5,Quality Issue,153.38
R000019,T000956,2026-05-20,S009,P0044,1,Wrong Item,19.77
R000020,T000515,2026-05-06,S010,P0087,2,Wrong Item,111.96
R000021,T000259,2026-05-07,S005,P0036,1,Quality Issue,12.27
R000022,T000753,2026-05-04,S002,P0098,1,Wrong Item,84.09
R000023,T000784,2026-05-10,S006,P0008,2,Size Issue,31.94
R000024,T000645,2026-05-07,S010,P0097,1,Damaged,40.86
R000025,T000892,2026-05-15,S008,P0094,2,Damaged,277.94
R000026,T000619,2026-05-08,S004,P0038,4,Size Issue,178.36
R000027,T000466,2026-05-09,S002,P0048,4,Wrong Item,97.51
R000028,T000956,2026-05-12,S009,P0044,1,Wrong Item,19.77
R000029,T000268,2026-05-02,S001,P0093,2,Damaged,26.42
R000030,T000208,2026-05-12,S002,P0072,2,Customer Changed Mind,216.83
R000031,T000953,2026-05-21,S002,P0089,2,Size Issue,35.75
R000032,T000603,2026-05-17,S007,P0096,1,Wrong Item,128.02
R000033,T000083,2026-05-03,S008,P0010,2,Customer Changed Mind,313.94
R000034,T000397,2026-05-17,S007,P0079,2,Size Issue,21.1
R000035,T000208,2026-05-24,S002,P0072,1,Customer Changed Mind,108.41
R000036,T000123,2026-05-17,S007,P0016,1,Quality Issue,46.51
R000037,T000761,2026-05-15,S009,P0001,1,Customer Changed Mind,96.14
R000038,T000943,2026-05-20,S006,P0081,3,Customer Changed Mind,227.24
R000039,T000754,2026-05-17,S007,P0084,1,Size Issue,82.16
R000040,T000898,2026-05-14,S010,P0073,1,Size Issue,156.93
R000041,T001123,2026-05-05,S008,P0019,1,Customer Changed Mind,114.2
R000042,T000901,2026-05-24,S009,P0008,3,Customer Changed Mind,47.91
R000043,T000295,2026-05-25,S007,P0069,1,Size Issue,173.59
R000044,T000787,2026-05-13,S008,P0091,3,Size Issue,155.69
R000045,T000091,2026-05-01,S003,P0026,3,Damaged,186.25
R000046,T000857,2026-05-14,S008,P0011,1,Wrong Item,76.85
R000047,T001121,2026-05-09,S005,P0064,5,Size Issue,137.23
R000048,T000136,2026-05-02,S005,P0068,1,Wrong Item,119.82
R000049,T000136,2026-05-15,S005,P0068,1,Wrong Item,119.82
R000050,T000234,2026-05-22,S001,P0064,1,Customer Changed Mind,29.06
R000051,T000763,2026-05-09,S004,P0077,1,Quality Issue,75.27
R000052,T001123,2026-05-21,S008,P0019,1,Quality Issue,114.2
R000053,T000319,2026-05-20,S004,P0073,3,Damaged,400.17
R000054,T000046,2026-05-16,S010,P0081,2,Customer Changed Mind,151.49
R000055,T001043,2026-05-16,S001,P0080,2,Size Issue,41.49
R000056,T000616,2026-05-04,S007,P0086,3,Quality Issue,177.81
R000057,T000458,2026-05-08,S003,P0026,2,Damaged,130.7
R000058,T000202,2026-05-14,S009,P0047,2,Wrong Item,114.34
R000059,T001161,2026-05-10,S010,P0041,2,Damaged,124.84
R000060,T000333,2026-05-22,S010,P0043,1,Customer Changed Mind,79.7
R000061,T000117,2026-05-13,S009,P0059,4,Damaged,398.62
R000062,T000849,2026-05-01,S003,P0027,4,Customer Changed Mind,125.29
R000063,T000243,2026-05-08,S008,P0043,3,Wrong Item,253.18
R000064,T000812,2026-05-07,S005,P0099,5,Wrong Item,188.96
R000065,T000482,2026-05-08,S009,P0064,2,Damaged,64.58
R000066,T000689,2026-05-20,S007,P0065,1,Quality Issue,27.77
R000067,T000772,2026-05-04,S007,P0044,1,Size Issue,19.77
R000068,T000018,2026-05-18,S001,P0073,1,Wrong Item,133.39
R000069,T000190,2026-05-02,S006,P0097,1,Wrong Item,40.86
R000070,T000364,2026-05-05,S009,P0090,1,Customer Changed Mind,145.3
R000071,T000732,2026-05-19,S002,P0075,3,Size Issue,278.44
R000072,T000339,2026-05-11,S007,P0013,2,Size Issue,150.44
R000073,T001194,2026-05-02,S005,P0077,1,Size Issue,88.55
R000074,T000394,2026-05-13,S009,P0057,1,Size Issue,59.73
R000075,T000548,2026-05-10,S008,P0069,3,Quality Issue,442.65
R000076,T000147,2026-05-05,S003,P0094,2,Wrong Item,277.94
R000077,T000533,2026-05-21,S007,P0065,1,Size Issue,32.67
R000078,T001017,2026-05-23,S008,P0061,1,Size Issue,110.26
R000079,T000806,2026-05-22,S006,P0065,2,Wrong Item,55.54
R000080,T000927,2026-05-17,S008,P0062,2,Customer Changed Mind,108.62
R000081,T000822,2026-05-08,S010,P0097,4,Customer Changed Mind,138.93
R000082,T000432,2026-05-15,S010,P0051,1,Damaged,87.68
R000083,T000076,2026-05-02,S005,P0081,1,Size Issue,84.16
R000084,T000303,2026-05-15,S007,P0023,1,Damaged,164.39
R000085,T000151,2026-05-25,S008,P0061,2,Customer Changed Mind,209.49
R000086,T001187,2026-05-23,S009,P0092,2,Wrong Item,187.18
R000087,T000840,2026-05-21,S007,P0030,1,Quality Issue,137.6
R000088,T000620,2026-05-16,S009,P0079,1,Size Issue,10.55
R000089,T000746,2026-05-13,S003,P0081,1,Customer Changed Mind,79.95
R000090,T000136,2026-05-02,S005,P0068,1,Wrong Item,119.82
R000091,T000383,2026-05-15,S004,P0016,2,Wrong Item,103.36
R000092,T000663,2026-05-05,S002,P0094,1,Wrong Item,138.97
R000093,T000645,2026-05-01,S010,P0097,1,Customer Changed Mind,40.86
R000094,T000852,2026-05-16,S003,P0016,1,Damaged,51.68
R000095,T000087,2026-05-08,S001,P0088,2,Quality Issue,164.43
R000096,T001015,2026-05-07,S009,P0047,3,Wrong Item,171.51
R000097,T000079,2026-05-21,S004,P0019,1,Customer Changed Mind,102.78
R000098,T000764,2026-05-01,S007,P0072,3,Wrong Item,342.36
R000099,T001027,2026-05-07,S010,P0089,1,Customer Changed Mind,19.98
R000100,T001035,2026-05-17,S001,P0072,3,Quality Issue,342.36
R000101,T000403,2026-05-25,S007,P0081,4,Wrong Item,302.98
R000102,T001121,2026-05-18,S005,P0064,3,Size Issue,82.34
R000103,T000583,2026-05-01,S008,P0052,2,Quality Issue,125.82
R000104,T000129,2026-05-14,S010,P0019,4,Quality Issue,456.8
R000105,T001172,2026-05-11,S007,P0002,1,Damaged,67.19
R000106,T000921,2026-05-10,S003,P0051,3,Size Issue,235.34
R000107,T000470,2026-05-13,S004,P0046,2,Size Issue,46.23
R000108,T001087,2026-05-02,S003,P0034,2,Wrong Item,46.38
R000109,T000490,2026-05-01,S005,P0049,2,Size Issue,178.76
R000110,T000156,2026-05-18,S008,P0008,1,Wrong Item,17.85
R000111,T000034,2026-05-25,S005,P0023,1,Size Issue,155.26
R000112,T001018,2026-05-07,S006,P0083,3,Quality Issue,123.99
R000113,T000589,2026-05-08,S004,P0073,1,Quality Issue,133.39
R000114,T000673,2026-05-18,S005,P0036,2,Damaged,24.53
R000115,T000030,2026-05-14,S008,P0046,3,Customer Changed Mind,69.34
R000116,T000503,2026-05-01,S009,P0053,4,Damaged,463.64
R000117,T000529,2026-05-22,S009,P0063,1,Customer Changed Mind,97.34
R000118,T000852,2026-05-14,S003,P0016,1,Damaged,51.68
R000119,T000741,2026-05-25,S002,P0061,1,Customer Changed Mind,104.75
R000120,T001111,2026-05-03,S007,P0046,1,Size Issue,24.33
R000121,T000007,2026-05-03,S001,P0069,2,Damaged,295.11
R000122,T000233,2026-05-11,S003,P0098,4,Quality Issue,300.97
R000123,T001095,2026-05-17,S009,P0025,4,Wrong Item,325.01
R000124,T000570,2026-05-12,S005,P0071,1,Customer Changed Mind,56.68
R000125,T000362,2026-05-07,S007,P0055,1,Customer Changed Mind,57.55
R000126,T000038,2026-05-25,S002,P0063,5,Size Issue,486.7
R000127,T000333,2026-05-11,S010,P0043,1,Quality Issue,79.7
R000128,T001096,2026-05-16,S002,P0097,2,Customer Changed Mind,73.55
R000129,T000062,2026-05-13,S002,P0053,2,Size Issue,244.02
R000130,T001050,2026-05-07,S002,P0059,1,Damaged,99.66
R000131,T000991,2026-05-24,S006,P0046,3,Damaged,65.69
R000132,T001013,2026-05-13,S010,P0064,1,Customer Changed Mind,30.68
R000133,T000408,2026-05-02,S006,P0063,1,Damaged,97.34
R000134,T000008,2026-05-01,S007,P0083,2,Customer Changed Mind,74.39
R000135,T000852,2026-05-01,S003,P0016,3,Wrong Item,155.04
R000136,T000175,2026-05-04,S002,P0037,1,Quality Issue,47.56
R000137,T001150,2026-05-19,S007,P0026,1,Wrong Item,62.08
R000138,T001013,2026-05-04,S010,P0064,1,Size Issue,30.68
R000139,T000650,2026-05-10,S001,P0006,2,Wrong Item,102.19
R000140,T000601,2026-05-04,S006,P0001,1,Customer Changed Mind,96.14
R000141,T000281,2026-05-09,S010,P0096,3,Damaged,363.85
R000142,T000575,2026-05-14,S001,P0021,3,Quality Issue,390.91
R000143,T000746,2026-05-16,S003,P0081,1,Customer Changed Mind,79.95
R000144,T000834,2026-05-01,S006,P0003,1,Customer Changed Mind,52.12
R000145,T000379,2026-05-05,S004,P0042,1,Quality Issue,36.49
R000146,T000206,2026-05-04,S009,P0018,2,Customer Changed Mind,74.81
R000147,T000684,2026-05-04,S005,P0094,1,Quality Issue,138.97
R000148,T000435,2026-05-08,S002,P0023,1,Customer Changed Mind,182.66
R000149,T000638,2026-05-23,S009,P0042,1,Quality Issue,36.49
R000150,T001119,2026-05-18,S002,P0076,2,Customer Changed Mind,238.86
R000151,T000206,2026-05-25,S009,P0018,2,Customer Changed Mind,74.81
R000152,T000861,2026-05-22,S008,P0079,1,Customer Changed Mind,11.17
R000153,T000107,2026-05-03,S006,P0030,1,Quality Issue,116.96
R000154,T000009,2026-05-16,S006,P0049,1,Wrong Item,80.44
R000155,T000740,2026-05-18,S007,P0007,1,Customer Changed Mind,144.34
R000156,T000326,2026-05-18,S001,P0002,5,Size Issue,335.97
R000157,T000685,2026-05-06,S003,P0062,1,Quality Issue,51.45
R000158,T000213,2026-05-16,S004,P0018,1,Damaged,41.56
R000159,T000347,2026-05-14,S007,P0066,1,Quality Issue,137.94
R000160,T000560,2026-05-16,S009,P0005,1,Damaged,45.55
R000161,T000122,2026-05-07,S001,P0072,4,Wrong Item,388.01
R000162,T000395,2026-05-12,S001,P0039,3,Wrong Item,65.55
R000163,T000843,2026-05-09,S007,P0063,2,Quality Issue,194.68
R000164,T000256,2026-05-09,S010,P0034,4,Quality Issue,92.76
R000165,T001020,2026-05-04,S003,P0023,1,Quality Issue,164.39
R000166,T000392,2026-05-23,S008,P0073,3,Quality Issue,400.17
R000167,T000378,2026-05-04,S002,P0036,5,Damaged,72.15
R000168,T000083,2026-05-08,S008,P0010,1,Size Issue,156.97
R000169,T000809,2026-05-07,S009,P0049,1,Size Issue,84.91
R000170,T001177,2026-05-21,S008,P0042,1,Size Issue,36.49
R000171,T000029,2026-05-04,S009,P0061,4,Damaged,418.99
R000172,T000916,2026-05-05,S001,P0015,2,Size Issue,261.32
R000173,T000756,2026-05-14,S006,P0085,2,Quality Issue,136.6
R000174,T000564,2026-05-22,S006,P0068,4,Damaged,479.28
R000175,T000424,2026-05-12,S007,P0025,2,Damaged,191.18
R000176,T001004,2026-05-09,S004,P0009,4,Size Issue,399.19
R000177,T000517,2026-05-14,S007,P0088,1,Damaged,91.35
R000178,T000126,2026-05-24,S005,P0015,1,Quality Issue,153.72
R000179,T000593,2026-05-14,S006,P0031,1,Customer Changed Mind,133.01
R000180,T000289,2026-05-09,S010,P0028,1,Wrong Item,96.72
R000181,T000029,2026-05-25,S009,P0061,4,Size Issue,418.99
R000182,T000931,2026-05-10,S002,P0050,2,Damaged,36.32
R000183,T000921,2026-05-23,S003,P0051,2,Wrong Item,156.89
R000184,T000800,2026-05-06,S001,P0091,3,Damaged,155.69
R000185,T000898,2026-05-01,S010,P0073,1,Wrong Item,156.93
R000186,T000788,2026-05-18,S003,P0073,2,Damaged,298.17
R000187,T000225,2026-05-24,S001,P0080,3,Quality Issue,55.7
R000188,T000522,2026-05-09,S006,P0069,1,Quality Issue,164.91
R000189,T000636,2026-05-01,S005,P0070,1,Quality Issue,86.27
R000190,T000220,2026-05-10,S005,P0067,1,Damaged,13.93
R000191,T001139,2026-05-21,S010,P0040,1,Quality Issue,101.86
R000192,T000007,2026-05-01,S001,P0069,2,Quality Issue,295.11
R000193,T000860,2026-05-01,S004,P0053,2,Damaged,244.02
R000194,T000384,2026-05-24,S009,P0019,1,Wrong Item,102.78
R000195,T000515,2026-05-19,S010,P0087,2,Wrong Item,111.96
R000196,T001158,2026-05-04,S009,P0063,3,Wrong Item,262.81
R000197,T000402,2026-05-11,S007,P0098,2,Customer Changed Mind,177.04
R000198,T000731,2026-05-25,S008,P0067,2,Quality Issue,29.32
R000199,T000683,2026-05-08,S007,P0067,4,Quality Issue,49.85
R000200,T000034,2026-05-04,S005,P0023,1,Damaged,155.26
R000201,T000474,2026-05-02,S009,P0081,1,Wrong Item,75.74
R000202,T000845,2026-05-04,S007,P0033,1,Wrong Item,63.49
R000203,T000278,2026-05-24,S004,P0089,1,Damaged,21.03
R000204,T000760,2026-05-02,S006,P0040,1,Size Issue,96.77
R000205,T000838,2026-05-09,S008,P0007,1,Quality Issue,144.34
R000206,T000922,2026-05-03,S005,P0046,1,Damaged,24.33
R000207,T000244,2026-05-09,S006,P0018,1,Quality Issue,39.48
R000208,T000494,2026-05-16,S006,P0012,1,Quality Issue,35.08
R000209,T000343,2026-05-16,S002,P0032,1,Wrong Item,177.92
R000210,T000678,2026-05-03,S003,P0020,1,Quality Issue,50.89
R000211,T000470,2026-05-01,S004,P0046,2,Customer Changed Mind,46.23
R000212,T000731,2026-05-18,S008,P0067,2,Size Issue,29.32
R000213,T000200,2026-05-19,S008,P0089,3,Customer Changed Mind,56.78
R000214,T000395,2026-05-06,S001,P0039,2,Size Issue,43.7
R000215,T000368,2026-05-07,S004,P0074,2,Damaged,113.09
R000216,T000605,2026-05-02,S007,P0097,1,Damaged,34.73
R000217,T000276,2026-05-04,S005,P0001,1,Customer Changed Mind,101.2
R000218,T000614,2026-05-05,S003,P0084,4,Damaged,279.34
R000219,T000971,2026-05-01,S001,P0088,1,Customer Changed Mind,77.65
R000220,T000072,2026-05-06,S002,P0057,5,Size Issue,298.66
R000221,T000174,2026-05-07,S008,P0007,1,Damaged,122.69
R000222,T000851,2026-05-14,S003,P0073,1,Damaged,156.93
R000223,T000546,2026-05-17,S005,P0064,3,Quality Issue,87.18
R000224,T001200,2026-05-15,S006,P0015,1,Quality Issue,153.72
R000225,T001092,2026-05-15,S006,P0088,1,Damaged,77.65
R000226,T000912,2026-05-11,S002,P0077,2,Quality Issue,159.39
R000227,T000439,2026-05-07,S008,P0010,1,Customer Changed Mind,156.97
R000228,T000770,2026-05-15,S002,P0024,3,Quality Issue,316.75
R000229,T000237,2026-05-05,S005,P0018,3,Damaged,112.21
R000230,T001093,2026-05-18,S003,P0002,1,Wrong Item,67.19
