DateKey,CalendarDate,Year,Quarter,Month,MonthName,WeekOfYear,DayName,IsWeekend
20260501,2026-05-01,2026,2,5,May,17,Friday,False
20260502,2026-05-02,2026,2,5,May,17,Saturday,True
20260503,2026-05-03,2026,2,5,May,18,Sunday,True
20260504,2026-05-04,2026,2,5,May,18,Monday,False
20260505,2026-05-05,2026,2,5,May,18,Tuesday,False
20260506,2026-05-06,2026,2,5,May,18,Wednesday,False
20260507,2026-05-07,2026,2,5,May,18,Thursday,False
20260508,2026-05-08,2026,2,5,May,18,Friday,False
20260509,2026-05-09,2026,2,5,May,18,Saturday,True
20260510,2026-05-10,2026,2,5,May,19,Sunday,True
20260511,2026-05-11,2026,2,5,May,19,Monday,False
20260512,2026-05-12,2026,2,5,May,19,Tuesday,False
20260513,2026-05-13,2026,2,5,May,19,Wednesday,False
20260514,2026-05-14,2026,2,5,May,19,Thursday,False
20260515,2026-05-15,2026,2,5,May,19,Friday,False
20260516,2026-05-16,2026,2,5,May,19,Saturday,True
20260517,2026-05-17,2026,2,5,May,20,Sunday,True
20260518,2026-05-18,2026,2,5,May,20,Monday,False
20260519,2026-05-19,2026,2,5,May,20,Tuesday,False
20260520,2026-05-20,2026,2,5,May,20,Wednesday,False
20260521,2026-05-21,2026,2,5,May,20,Thursday,False
20260522,2026-05-22,2026,2,5,May,20,Friday,False
20260523,2026-05-23,2026,2,5,May,20,Saturday,True
20260524,2026-05-24,2026,2,5,May,21,Sunday,True
20260525,2026-05-25,2026,2,5,May,21,Monday,False
