SnapshotDate,StoreID,ProductID,StockOnHand,ReservedQty,AvailableQty,ReorderPoint,SafetyStock
2026-05-25,S001,P0001,184,29,155,42,19
2026-05-25,S001,P0002,134,19,115,31,26
2026-05-25,S001,P0003,160,13,147,25,20
2026-05-25,S001,P0004,251,24,227,24,27
2026-05-25,S001,P0005,225,1,224,27,14
2026-05-25,S001,P0006,27,7,20,26,11
2026-05-25,S001,P0007,240,8,232,25,32
2026-05-25,S001,P0008,239,13,226,22,38
2026-05-25,S001,P0009,253,1,252,43,21
2026-05-25,S001,P0010,287,15,272,44,25
2026-05-25,S001,P0011,57,27,30,24,13
2026-05-25,S001,P0012,178,2,176,28,37
2026-05-25,S001,P0013,145,5,140,25,33
2026-05-25,S001,P0014,260,26,234,32,28
2026-05-25,S001,P0015,299,6,293,52,10
2026-05-25,S001,P0016,269,24,245,51,15
2026-05-25,S001,P0017,213,29,184,19,17
2026-05-25,S001,P0018,255,21,234,21,38
2026-05-25,S001,P0019,168,0,168,33,31
2026-05-25,S001,P0020,62,12,50,38,28
2026-05-25,S001,P0021,54,26,28,35,14
2026-05-25,S001,P0022,14,2,12,44,36
2026-05-25,S001,P0023,245,14,231,55,40
2026-05-25,S001,P0024,137,19,118,57,10
2026-05-25,S001,P0025,168,1,167,56,29
2026-05-25,S001,P0026,231,10,221,51,14
2026-05-25,S001,P0027,108,27,81,18,35
2026-05-25,S001,P0028,144,10,134,18,33
2026-05-25,S001,P0029,36,17,19,53,22
2026-05-25,S001,P0030,47,12,35,31,15
2026-05-25,S001,P0031,122,30,92,40,12
2026-05-25,S001,P0032,10,27,-17,28,15
2026-05-25,S001,P0033,198,24,174,40,19
2026-05-25,S001,P0034,78,3,75,34,25
2026-05-25,S001,P0035,221,23,198,34,38
2026-05-25,S001,P0036,67,11,56,57,13
2026-05-25,S001,P0037,188,16,172,27,25
2026-05-25,S001,P0038,228,28,200,39,25
2026-05-25,S001,P0039,137,18,119,53,23
2026-05-25,S001,P0040,46,24,22,42,35
2026-05-25,S001,P0041,188,19,169,26,23
2026-05-25,S001,P0042,218,2,216,17,26
2026-05-25,S001,P0043,174,14,160,58,17
