ProductID,SKU,ProductName,Category,SubCategory,Brand,SupplierID,UnitCost,RetailPrice,Currency,IsActive
P0001,SKU-00001,EuroSport Training Jersey,Jerseys,Training Jersey,EuroSport,SUP001,60.62,101.2,EUR,True
P0002,SKU-00002,EuroSport Home Jersey,Jerseys,Home Jersey,EuroSport,SUP002,49.29,70.73,EUR,True
P0003,SKU-00003,AdlerFit Home Jersey,Jerseys,Home Jersey,AdlerFit,SUP004,42.9,61.31,EUR,True
P0004,SKU-00004,PeakMotion Home Jersey,Jerseys,Home Jersey,PeakMotion,SUP007,21.53,44.1,EUR,True
P0005,SKU-00005,AdlerFit Home Jersey,Jerseys,Home Jersey,AdlerFit,SUP007,30.52,47.95,EUR,True
P0006,SKU-00006,EuroSport Away Jersey,Jerseys,Away Jersey,EuroSport,SUP002,33.49,60.11,EUR,True
P0007,SKU-00007,PeakMotion Away Jersey,Jerseys,Away Jersey,PeakMotion,SUP005,65.53,144.34,EUR,True
P0008,SKU-00008,EuroSport Training Jersey,Jerseys,Training Jersey,EuroSport,SUP007,10.91,18.79,EUR,True
P0009,SKU-00009,PeakMotion Training Jersey,Jerseys,Training Jersey,PeakMotion,SUP006,48.3,105.05,EUR,True
P0010,SKU-00010,AdlerFit Home Jersey,Jerseys,Home Jersey,AdlerFit,SUP005,78.89,184.67,EUR,True
P0011,SKU-00011,UrbanAthlete Home Jersey,Jerseys,Home Jersey,UrbanAthlete,SUP005,39.01,90.41,EUR,True
P0012,SKU-00012,NordRun Home Jersey,Jerseys,Home Jersey,NordRun,SUP006,20.71,35.08,EUR,True
P0013,SKU-00013,EuroSport Training Jersey,Jerseys,Training Jersey,EuroSport,SUP003,45.06,75.22,EUR,True
P0014,SKU-00014,UrbanAthlete Away Jersey,Jerseys,Away Jersey,UrbanAthlete,SUP005,79.21,166.66,EUR,True
P0015,SKU-00015,AdlerFit Training Jersey,Jerseys,Training Jersey,AdlerFit,SUP006,68.21,153.72,EUR,True
P0016,SKU-00016,EuroSport Baseball Cap,Caps,Baseball Cap,EuroSport,SUP006,35.09,51.68,EUR,True
P0017,SKU-00017,NordRun Beanie,Caps,Beanie,NordRun,SUP004,54.16,99.39,EUR,True
P0018,SKU-00018,UrbanAthlete Beanie,Caps,Beanie,UrbanAthlete,SUP003,24.87,41.56,EUR,True
P0019,SKU-00019,PeakMotion Beanie,Caps,Beanie,PeakMotion,SUP005,61.03,114.2,EUR,True
P0020,SKU-00020,UrbanAthlete Beanie,Caps,Beanie,UrbanAthlete,SUP006,21.45,53.57,EUR,True
P0021,SKU-00021,UrbanAthlete Beanie,Caps,Beanie,UrbanAthlete,SUP002,61.68,144.78,EUR,True
P0022,SKU-00022,AdlerFit Baseball Cap,Caps,Baseball Cap,AdlerFit,SUP007,49.73,90.67,EUR,True
