TransactionID,TransactionDate,StoreID,ProductID,Quantity,UnitPrice,DiscountAmount,GrossSales,NetSales,PaymentMethod,SalesChannel
T000001,2026-05-14 12:02:49,S004,P0020,1,53.57,5.36,53.57,48.21,Wallet,Store
T000002,2026-05-14 14:10:49,S007,P0060,1,59.06,0.0,59.06,59.06,Wallet,Store
T000003,2026-05-16 00:12:52,S001,P0090,5,145.3,72.65,726.5,653.85,Card,Store
T000004,2026-05-24 19:53:02,S007,P0039,4,23.0,13.8,92.0,78.2,Wallet,Store
T000005,2026-05-14 17:40:54,S008,P0029,2,38.23,3.82,76.46,72.64,Cash,Store
T000006,2026-05-15 04:38:48,S006,P0050,4,18.16,0.0,72.64,72.64,Wallet,Store
T000007,2026-05-19 00:59:12,S001,P0069,4,173.59,104.15,694.36,590.21,Cash,Store
T000008,2026-05-06 01:49:50,S007,P0083,2,41.33,8.27,82.66,74.39,Card,Store
T000009,2026-05-11 12:17:16,S006,P0049,2,89.38,17.88,178.76,160.88,Card,Store
T000010,2026-05-16 00:42:20,S007,P0036,3,14.43,0.0,43.29,43.29,Wallet,Store
T000011,2026-05-21 02:29:53,S001,P0070,3,101.49,0.0,304.47,304.47,Wallet,Store
T000012,2026-05-01 22:37:19,S001,P0006,2,60.11,0.0,120.22,120.22,Cash,Store
T000013,2026-05-19 07:56:09,S003,P0031,4,133.01,0.0,532.04,532.04,Card,Store
T000014,2026-05-20 22:06:33,S005,P0090,3,145.3,0.0,435.9,435.9,Wallet,Store
T000015,2026-05-04 21:04:09,S002,P0092,2,103.99,10.4,207.98,197.58,Cash,Store
T000016,2026-05-23 07:13:15,S010,P0040,4,101.86,40.74,407.44,366.7,Cash,Store
T000017,2026-05-22 21:51:37,S004,P0076,1,119.43,5.97,119.43,113.46,Cash,Store
T000018,2026-05-14 13:29:31,S001,P0073,3,156.93,70.62,470.79,400.17,Cash,Store
T000019,2026-05-16 03:50:33,S006,P0065,1,32.67,3.27,32.67,29.4,Card,Store
T000020,2026-05-06 18:59:46,S008,P0047,2,57.17,11.43,114.34,102.91,Wallet,Store
T000021,2026-05-15 15:51:31,S010,P0035,5,69.17,34.59,345.85,311.26,Wallet,Store
T000022,2026-05-03 10:09:19,S005,P0076,3,119.43,0.0,358.29,358.29,Card,Store
T000023,2026-05-22 13:47:54,S008,P0032,5,187.28,140.46,936.4,795.94,Card,Store
T000024,2026-05-16 07:43:22,S008,P0004,3,44.1,0.0,132.3,132.3,Card,Store
T000025,2026-05-23 10:03:31,S006,P0034,3,23.19,10.44,69.57,59.13,Wallet,Store
T000026,2026-05-08 14:47:51,S009,P0002,2,70.73,0.0,141.46,141.46,Card,Store
T000027,2026-05-15 00:37:40,S004,P0072,4,114.12,45.65,456.48,410.83,Cash,Store
T000028,2026-05-10 21:10:25,S004,P0038,4,44.59,0.0,178.36,178.36,Card,Store
T000029,2026-05-14 20:02:20,S009,P0061,5,110.26,27.56,551.3,523.74,Card,Store
T000030,2026-05-09 08:23:37,S008,P0046,3,24.33,3.65,72.99,69.34,Cash,Store
T000031,2026-05-24 19:30:36,S004,P0093,3,14.68,0.0,44.04,44.04,Wallet,Store
T000032,2026-05-09 21:27:58,S004,P0024,2,111.14,22.23,222.28,200.05,Wallet,Store
T000033,2026-05-10 08:16:56,S005,P0077,1,88.55,0.0,88.55,88.55,Card,Store
T000034,2026-05-05 09:59:14,S005,P0023,1,182.66,27.4,182.66,155.26,Cash,Store
T000035,2026-05-21 17:52:20,S009,P0007,3,144.34,0.0,433.02,433.02,Cash,Store
T000036,2026-05-16 16:02:13,S010,P0002,3,70.73,21.22,212.19,190.97,Card,Store
T000037,2026-05-04 02:22:44,S001,P0024,3,111.14,33.34,333.42,300.08,Card,Store
T000038,2026-05-05 05:25:55,S002,P0063,5,97.34,0.0,486.7,486.7,Wallet,Store
T000039,2026-05-18 15:09:08,S002,P0039,2,23.0,0.0,46.0,46.0,Wallet,Store
T000040,2026-05-13 16:24:09,S010,P0077,2,88.55,26.56,177.1,150.54,Card,Store
T000041,2026-05-19 22:36:39,S010,P0039,4,23.0,4.6,92.0,87.4,Cash,Store
T000042,2026-05-09 02:57:21,S002,P0079,2,12.41,0.0,24.82,24.82,Cash,Store
T000043,2026-05-06 00:05:50,S003,P0031,5,133.01,0.0,665.05,665.05,Card,Store
T000044,2026-05-02 08:25:40,S010,P0058,4,51.47,10.29,205.88,195.59,Card,Store
T000045,2026-05-22 08:29:55,S005,P0091,4,54.63,0.0,218.52,218.52,Card,Store
T000046,2026-05-04 19:49:36,S010,P0081,2,84.16,16.83,168.32,151.49,Cash,Store
T000047,2026-05-03 02:10:16,S003,P0083,3,41.33,0.0,123.99,123.99,Cash,Store
T000048,2026-05-15 04:31:39,S010,P0040,5,101.86,25.47,509.3,483.83,Card,Store
T000049,2026-05-17 19:39:36,S005,P0089,4,21.03,4.21,84.12,79.91,Card,Store
T000050,2026-05-14 11:44:07,S002,P0057,5,66.37,0.0,331.85,331.85,Wallet,Store
T000051,2026-05-22 20:56:32,S001,P0033,1,74.69,0.0,74.69,74.69,Wallet,Store
T000052,2026-05-25 06:22:42,S005,P0003,5,61.31,0.0,306.55,306.55,Card,Store
T000053,2026-05-19 15:52:12,S008,P0067,3,14.66,0.0,43.98,43.98,Wallet,Store
T000054,2026-05-14 12:08:07,S002,P0063,4,97.34,19.47,389.36,369.89,Card,Store
